term,code
flatulence,C23.888.821.360
fluoride poisoning,C25.723.380
flushing,C23.888.885.344
focal dermal hypoplasia,C05.116.099.370.380
focal infection,C01.392
"focal infection, dental",C01.392.433
folic acid deficiency,C18.654.521.500.133.699.308
follicular cyst,C04.182.300
folliculitis,C17.800.329.500
food hypersensitivity,C20.543.480.370
foodborne diseases,C25.723.415
foot deformities,C05.330
"foot deformities, acquired",C05.330.488
"foot deformities, congenital",C05.330.495
foot dermatoses,C17.800.321.125
foot diseases,C05.360
foot rot,C01.150.252.400.369
foot-and-mouth disease,C01.925.782.687.484
forearm injuries,C26.088.268
foreign bodies,C26.392
foreign-body migration,C26.392.500
foreign-body reaction,C23.550.470.251
influenza in birds,C01.925.782.620.300
fowlpox,C01.925.256.743.366
fox-fordyce disease,C17.800.946.492.285
"fractures, closed",C26.404.124
"fractures, open",C26.404.311
"fractures, spontaneous",C26.404.374
"fractures, ununited",C26.404.468
fragile x syndrome,C10.597.606.360.455.500
freemartinism,C12.050.351.875.253.795.124
friedreich ataxia,C10.228.140.252.700.150
frostbite,C26.212.500
fructose intolerance,C16.320.565.202.251.271
fuchs' endothelial dystrophy,C11.204.236.438
fucosidosis,C10.228.140.163.100.435.295
funnel chest,C05.116.099.386
furunculosis,C01.150.252.410.868.951.270
fused teeth,C07.650.800.370
fusobacterium infections,C01.150.252.400.388.350
gagging,C23.888.821.414
galactorrhea,C12.050.703.844.506.389
galactosemias,C10.228.140.163.100.320
gallbladder diseases,C06.130.564
gallbladder neoplasms,C04.588.274.120.401
ganglioneuroma,C04.557.465.625.600.355
gangliosidoses,C10.228.140.163.100.435.825.300
gangrene,C23.550.717.427
gardner syndrome,C04.557.470.035.215.100.500
gas gangrene,C01.150.252.410.222.440
gas poisoning,C25.723.455
gastric fistula,C06.267.375
gastritis,C06.405.205.697
"gastritis, atrophic",C06.405.205.697.394
"gastritis, hypertrophic",C06.405.205.697.410
gastroenteritis,C06.405.205
"gastroenteritis, transmissible, of swine",C01.925.782.600.550.200.400
gastroesophageal reflux,C06.405.117.119.500.484
gastrointestinal diseases,C06.405
gastrointestinal neoplasms,C04.588.274.476
gaucher disease,C10.228.140.163.100.435.825.400
"genital diseases, female",C12.050.351.500
"genital diseases, male",C12.100.500
"genital neoplasms, female",C04.588.945.418
"genital neoplasms, male",C04.588.945.440
geotrichosis,C01.150.703.392
gerstmann syndrome,C10.597.606.762.100.300
giant cell tumors,C04.557.450.565.380
castleman disease,C15.604.515.245
giardiasis,C01.610.432.481
gigantism,C05.116.099.492
gilbert disease,C16.320.565.300.528
tourette syndrome,C10.228.140.079.898
gingival diseases,C07.465.714.258
gingival hemorrhage,C07.465.625.446
gingival hyperplasia,C07.465.714.258.428.250
gingival hypertrophy,C07.465.714.258.428.260
gingival neoplasms,C04.588.443.591.402
gingival pocket,C01.408.360
gingival recession,C07.465.714.258.447
gingivitis,C01.408
"gingivitis, necrotizing ulcerative",C01.150.252.400.388.350.350
glanders,C01.150.252.400.170.400
glaucoma,C11.525.381
"glaucoma, open-angle",C11.525.381.407
glioblastoma,C04.557.465.625.600.380.080.335
glioma,C04.557.465.625.600.380
gliosis,C23.550.369
glomus tumor,C04.557.645.350
glomerulonephritis,C12.050.351.968.419.570.363
"glomerulonephritis, iga",C12.050.351.968.419.570.363.608
"glomerulosclerosis, focal segmental",C12.050.351.968.419.570.363.640
glomus jugulare tumor,C04.557.465.625.650.700.705.340
glossalgia,C07.465.910.280
glossitis,C07.465.910.363
"glossitis, benign migratory",C07.465.910.363.447
glucagonoma,C04.557.470.200.025.290.750
glycogen storage disease type i,C16.320.565.202.449.448
glucosephosphate dehydrogenase deficiency,C15.378.071.141.150.480
glycogen storage disease,C16.320.565.202.449
glycogen storage disease type ii,C10.228.140.163.100.435.340
glycogen storage disease type iii,C16.320.565.202.449.520
glycogen storage disease type iv,C16.320.565.202.449.540
glycogen storage disease type v,C16.320.565.202.449.560
glycogen storage disease type vi,C16.320.565.202.449.580
glycogen storage disease type vii,C05.651.534.500.149
glycogen storage disease type viii,C16.320.322.217
glycosuria,C12.050.351.968.934.363
"glycosuria, renal",C12.050.351.968.419.815.532
goiter,C19.874.283
"goiter, endemic",C19.874.283.300
"goiter, nodular",C19.874.283.501
"goiter, substernal",C19.874.283.601
goldenhar syndrome,C05.116.099.370.231.576.410
gonadal disorders,C19.391
gonadal dysgenesis,C12.050.351.875.253.309
"gonadal dysgenesis, mixed",C12.050.351.875.253.309.391
"gonadal dysgenesis, 46,xy",C12.050.351.875.253.096.687
gonorrhea,C01.150.252.400.625.275
gout,C05.550.114.423
"graft occlusion, vascular",C23.550.767.400
graft vs host disease,C20.452
granuloma,C15.604.515.292
granuloma inguinale,C01.150.252.400.310.417
"granuloma, giant cell",C05.500.368
"granuloma, laryngeal",C08.280.400
"granuloma, lethal midline",C08.460.393
"granuloma, plasma cell",C23.550.382.875
"granulomatous disease, chronic",C15.378.553.774.535
granulosa cell tumor,C04.557.475.750.656
graves disease,C11.675.349.500
growth disorders,C23.550.393
gynatresia,C12.050.351.500.320
gynecomastia,C17.800.090.875
haemonchiasis,C01.610.335.508.700.775.825.400
haemophilus infections,C01.150.252.400.700.433
hair diseases,C17.800.329
halitosis,C23.888.821.475
hallermann's syndrome,C05.116.099.370.231.427
pantothenate kinase-associated neurodegeneration,C10.228.140.079.800
hallucinations,C10.597.606.762.300
hallux valgus,C05.330.610
hamartoma,C04.445
"hamartoma syndrome, multiple",C04.445.435
hand deformities,C05.390
"hand deformities, acquired",C05.390.110
"hand deformities, congenital",C05.390.408
hand dermatoses,C17.800.338
hand injuries,C26.448
"hand, foot and mouth disease",C01.925.782.687.359.213.331
hartnup disease,C10.228.140.163.100.355
"rhinitis, allergic, seasonal",C08.460.799.315.750
head and neck neoplasms,C04.588.443
craniocerebral trauma,C10.900.300
headache,C23.888.592.612.441
hearing disorders,C09.218.458
"hearing loss, bilateral",C09.218.458.341.374
"hearing loss, central",C09.218.458.341.887.432
"hearing loss, conductive",C09.218.458.341.562
"hearing loss, functional",C09.218.458.341.750
"hearing loss, high-frequency",C09.218.458.341.812
"hearing loss, noise-induced",C09.218.458.341.887.460
"hearing loss, sensorineural",C09.218.458.341.887
heart aneurysm,C14.280.358
heart arrest,C14.280.383
heart block,C14.280.067.558
"heart defects, congenital",C14.240.400
heart diseases,C14.280
cardiomegaly,C14.280.195
heart failure,C14.280.434
heart injuries,C26.891.375
heart murmurs,C23.888.447
heart neoplasms,C04.588.894.309
heart rupture,C14.280.470
"heart rupture, post-infarction",C14.280.470.475
heart septal defects,C14.240.400.560
"heart septal defects, atrial",C14.240.400.560.375
"heart septal defects, ventricular",C14.240.400.560.540
heart valve diseases,C14.280.484
heartburn,C23.888.821.525
heartwater disease,C01.150.252.400.054.750.500
heat exhaustion,C26.522.250
heavy chain disease,C15.378.147.780.490
helminthiasis,C01.610.335
"helminthiasis, animal",C01.610.335.349
hemangioendothelioma,C04.557.645.375.370
hemangioma,C04.557.645.375
"hemangioma, cavernous",C04.557.645.375.385
hemangiopericytoma,C04.557.645.380
hemangiosarcoma,C04.557.450.795.390
hemarthrosis,C05.550.459
hematemesis,C06.405.227.400
hematocele,C12.100.500.287
hematocolpos,C12.050.351.500.894.300
hematologic diseases,C15.378
hematoma,C23.550.414.838
"hematoma, epidural, cranial",C10.228.140.300.535.450.300
"hematoma, subdural",C10.228.140.300.535.450.400
hematometra,C12.050.351.500.852.495
hematuria,C12.050.351.968.934.442
hemianopsia,C10.597.751.941.512
hemic and lymphatic diseases,C15
hemiplegia,C10.597.622.295
hemobilia,C23.550.414.864
hemochromatosis,C16.320.565.618.337
hemoglobin c disease,C15.378.071.141.150.490
hemoglobin sc disease,C15.378.071.141.150.150.440
hemoglobinopathies,C15.378.420
hemoglobinuria,C12.050.351.968.934.734.634
"hemoglobinuria, paroxysmal",C15.378.071.141.560
hemolysis,C23.550.403
hemolytic-uremic syndrome,C12.050.351.968.419.936.463
hemoperitoneum,C06.844.400
hemophilia a,C15.378.100.100.500
hemopneumothorax,C08.528.338
hemoptysis,C08.381.348
hemorrhage,C23.550.414
gastrointestinal hemorrhage,C06.405.227
oral hemorrhage,C07.465.625
postpartum hemorrhage,C12.050.703.420.725
hemorrhagic disorders,C15.378.463
vitamin k deficiency bleeding,C15.378.100.920.360
"hemorrhagic fever, american",C01.925.782.082.440
"hemorrhagic fever, crimean",C01.920.500.528
hemorrhagic fever with renal syndrome,C01.925.782.147.420.400
"hemorrhagic fever, omsk",C01.920.930.440
"hemorrhagic fevers, viral",C01.925.782.417
hemorrhagic septicemia,C01.150.252.100.375
hemorrhoids,C06.405.469.860.401
hemosiderosis,C18.452.565.500.500
hemothorax,C08.528.380
hepatic encephalopathy,C06.552.308.500.356
budd-chiari syndrome,C06.552.347
hepatic veno-occlusive disease,C06.552.360
hepatitis,C06.552.380
hepatitis a,C01.925.440.420
hepatitis b,C01.221.250.500
"hepatitis, alcoholic",C06.552.380.290
"hepatitis, animal",C01.436
"hepatitis, chronic",C06.552.380.350
"hepatitis, infectious canine",C01.436.430.440
"hepatitis, viral, animal",C01.436.430
"hepatitis, viral, human",C01.925.440
hepatitis c,C01.221.250.750
hepatolenticular degeneration,C06.552.413
"carcinoma, hepatocellular",C04.557.470.200.025.255
hepatomegaly,C06.552.416
hepatorenal syndrome,C06.552.465
hernia,C23.300.707
"hernia, diaphragmatic",C23.300.707.960.500
"hernia, diaphragmatic, traumatic",C23.300.707.960.500.233
"hernia, femoral",C23.300.707.374.750
"hernia, hiatal",C23.300.707.960.500.467
"hernia, inguinal",C23.300.707.374.875
"hernia, obturator",C23.300.707.937
"hernia, umbilical",C16.614.378
"hernia, ventral",C23.300.707.374.937
heroin dependence,C25.775.643.500.400
herpangina,C01.925.782.687.359.213.466
herpes genitalis,C01.221.812.640.350
pemphigoid gestationis,C12.050.703.570
herpes labialis,C01.925.256.466.382.316
herpes simplex,C01.925.256.466.382
herpes zoster,C01.925.256.466.930.750
herpes zoster ophthalmicus,C01.375.725.450
herpesviridae infections,C01.925.256.466
hiccup,C23.888.821.578
"adenoma, sweat gland",C04.557.470.035.175
high pressure neurological syndrome,C10.228.566
hip contracture,C05.550.323.468
hip dislocation,C05.550.518.384
"hip dislocation, congenital",C05.660.297.500
"hip dysplasia, canine",C22.268.485
hip fractures,C26.404.061.425
von hippel-lindau disease,C10.562.925
hirschsprung disease,C06.198.439
hirsutism,C17.800.329.750
"histiocytosis, langerhans-cell",C08.381.483.375
histoplasmosis,C01.150.703.450
hiv seropositivity,C01.221.250.875.500
hoarseness,C08.360.940.490
hodgkin disease,C04.557.386.355
classical swine fever,C01.925.782.350.675.200
homocystinuria,C10.228.140.163.100.365
hookworm infections,C01.610.335.508.700.775.455
hordeolum,C01.150.252.289.400
horner syndrome,C10.177.350
horse diseases,C22.488
deltaretrovirus infections,C01.925.782.815.200
humeral fractures,C26.088.390
huntington disease,C10.228.140.079.545
hyaline membrane disease,C08.381.840.500.475
hydatidiform mole,C04.557.465.955.416.812
polyhydramnios,C12.050.703.610
hydranencephaly,C10.500.450
hydrarthrosis,C05.550.509
hydroa vacciniforme,C17.800.600.425
testicular hydrocele,C12.100.500.882
hydrocephalus,C10.228.140.602
"hydrocephalus, normal pressure",C10.228.140.602.750
hydronephrosis,C12.050.351.968.419.307
hydrophthalmos,C11.250.480
hydropneumothorax,C08.528.434
hydrothorax,C08.528.476
hymenolepiasis,C01.610.335.190.519
hyperaldosteronism,C19.053.800.604
hyperalgesia,C10.597.751.791.400
hyperbilirubinemia,C23.550.429
"hyperbilirubinemia, hereditary",C16.320.565.300
hypercalcemia,C18.452.174.451
hypercapnia,C23.888.852.544
hypercementosis,C07.793.422
hypercholesterolemia,C18.452.584.500.500.396
hyperlipoproteinemia type ii,C16.320.565.398.481
hyperemesis gravidarum,C12.050.703.407.500
hyperemia,C14.907.474
hyperesthesia,C10.597.751.791.450
hypergammaglobulinemia,C15.378.147.542
hyperglycemia,C18.452.394.952
hyperglycemic hyperosmolar nonketotic coma,C19.246.099.750.490
hyperhidrosis,C17.800.946.350
hyperinsulinism,C18.452.394.968
hyperkalemia,C18.452.950.396
hyperkinesis,C10.597.350.350
hyperlipidemias,C18.452.584.500.500
"hyperlipidemia, familial combined",C16.320.565.398.450
hyperlipoproteinemias,C18.452.584.500.500.644
hyperlipoproteinemia type iii,C16.320.565.398.483
hyperlipoproteinemia type iv,C16.320.565.398.487
hyperlipoproteinemia type v,C16.320.565.398.493
hypernatremia,C18.452.950.452
hyperopia,C11.744.479
hyperostosis frontalis interna,C05.116.099.708.486
"hyperostosis, cortical, congenital",C05.116.099.708.479
hyperoxaluria,C12.050.351.968.419.313
"hyperoxaluria, primary",C12.050.351.968.419.313.500
hyperparathyroidism,C19.642.355
"hyperparathyroidism, secondary",C19.642.355.480
hyperphagia,C23.888.821.645
hyperpituitarism,C10.228.140.617.738.250
hyperplasia,C23.550.444
hyperprolactinemia,C10.228.140.617.738.250.450
hypersensitivity,C20.543
"hypersensitivity, delayed",C20.543.418
"hypersensitivity, immediate",C20.543.480
disorders of excessive somnolence,C10.886.425.800.200
hypersplenism,C15.604.744.293
hypertelorism,C05.116.099.370.231.480
hypertension,C14.907.489
"hypertension, malignant",C14.907.489.330
"hypertension, portal",C06.552.494
"hypertension, pulmonary",C08.381.423
"hypertension, renal",C12.050.351.968.419.331
"hypertension, renovascular",C12.050.351.968.419.331.490
hyperthyroidism,C19.874.397
hyperthyroxinemia,C19.874.410
hypertrichosis,C17.800.329.875
hypertrophy,C23.300.775
hyperventilation,C08.618.501
hypervitaminosis a,C18.654.301
hypesthesia,C10.597.751.791.500
hyphema,C11.290.484
hypoaldosteronism,C19.053.500.480
hypobetalipoproteinemias,C16.320.565.398.500.440
hypocalcemia,C18.452.174.509
hypodermyiasis,C01.610.858.211.503.398
hypoglycemia,C18.452.394.984
hypogonadism,C19.391.482
hypohidrosis,C17.800.946.370
hypokalemia,C18.452.950.565
hypolipoproteinemias,C16.320.565.398.500
hyponatremia,C18.452.950.620
hypoparathyroidism,C19.642.482
hypopharyngeal neoplasms,C04.588.443.665.710.485
hypophosphatasia,C16.320.565.618.482
"hypophosphatemia, familial",C12.050.351.968.419.815.647
hypopituitarism,C10.228.140.617.738.300
hypoproteinemia,C15.378.147.607
hypoprothrombinemias,C15.378.100.100.550
hypospadias,C12.050.351.875.466
hypotension,C14.907.514
"hypotension, orthostatic",C10.177.575.600.450
hypothalamic diseases,C10.228.140.617
hypothalamic neoplasms,C04.588.614.250.195.885.500
hypothermia,C23.888.119.565
hypothyroidism,C19.874.482
hypotrichosis,C17.800.329.937
hypoventilation,C08.618.846.565
iatrogenic disease,C23.550.291.875
ichthyosis,C16.131.831.512
ileal diseases,C06.405.469.420
ileal neoplasms,C04.588.274.476.411.501
ileitis,C06.405.205.462.624
illusions,C10.597.606.762.400
immersion foot,C17.800.321.500
immune complex diseases,C20.543.520
immunoblastic lymphadenopathy,C15.604.338.500
immunologic deficiency syndromes,C20.673
immune system diseases,C20
immunoproliferative disorders,C20.683
immunoproliferative small intestinal disease,C04.557.386.390
impetigo,C01.150.252.410.868.951.360
erectile dysfunction,C12.100.500.214
inappropriate adh syndrome,C10.228.140.617.738.320
incontinentia pigmenti,C16.131.077.445
inert gas narcosis,C24.426
infant nutrition disorders,C18.654.422
"infant, newborn, diseases",C16.614
"infant, premature, diseases",C16.614.521
infarction,C23.550.513.355
infections,C01
infectious bovine rhinotracheitis,C01.925.256.466.488
infectious mononucleosis,C01.925.256.466.313.400
infertility,C12.100.750
"infertility, female",C12.050.351.500.498
"infertility, male",C12.100.500.430
inflammation,C23.550.470
"influenza, human",C01.748.310
disorders of environmental origin,C21
insect bites and stings,C25.723.127.071
sleep initiation and maintenance disorders,C10.886.425.800.800
insulin coma,C10.597.606.358.800.200.600
insulin resistance,C18.452.394.968.500
insulinoma,C04.557.470.035.100.852
intermittent claudication,C14.907.137.126.669
intertrigo,C17.800.174.640
intervertebral disc displacement,C05.116.900.307
intestinal atresia,C06.198.719
intestinal diseases,C06.405.469
"intestinal diseases, parasitic",C01.610.432
intestinal fistula,C06.267.550
intestinal neoplasms,C04.588.274.476.411
intestinal obstruction,C06.405.469.531
intestinal perforation,C06.405.469.557
intestinal polyps,C23.300.825.411
intestinal pseudo-obstruction,C06.405.469.531.492.500
intraoperative complications,C23.550.505
intussusception,C06.405.469.531.577
chromosome inversion,C23.550.210.190
iris diseases,C11.941.375
iritis,C11.941.375.385
ischemia,C23.550.513
"adenoma, islet cell",C04.557.470.035.100
creutzfeldt-jakob syndrome,C01.207.800.230
jaundice,C23.550.429.500
"jaundice, chronic idiopathic",C16.320.565.300.764
"jaundice, neonatal",C16.614.451.500
jaw abnormalities,C05.500.460
jaw cysts,C04.182.089.530
jaw diseases,C05.500
jaw fractures,C10.900.300.284.500.400
jaw neoplasms,C04.588.149.721.450
"jaw, edentulous",C05.500.480
"jaw, edentulous, partially",C05.500.480.450
jejunal diseases,C06.405.469.600
jejunal neoplasms,C04.588.274.476.411.523
job syndrome,C15.378.553.774.600
joint diseases,C05.550
joint instability,C05.550.521
joint loose bodies,C05.550.535
kaposi varicelliform eruption,C01.925.256.466.382.410
kartagener syndrome,C08.127.384.500
kearns-sayre syndrome,C05.651.460.700.500
keratitis,C11.204.564
"keratitis, dendritic",C01.375.725.465.450
keratoacanthoma,C17.800.417
keratoconjunctivitis,C11.187.183.394
keratoconjunctivitis sicca,C11.187.183.394.500
"keratoconjunctivitis, infectious",C01.150.252.289.450
keratoconus,C11.204.627
keratosis,C17.800.428
darier disease,C16.320.850.190
"keratoderma, palmoplantar",C16.320.850.475
kernicterus,C10.228.140.163.480
ketosis,C18.452.076.176.652
kidney calculi,C12.050.351.968.419.600.500
kidney cortex necrosis,C12.050.351.968.419.393
kidney diseases,C12.050.351.968.419
"kidney failure, chronic",C12.050.351.968.419.780.750.500
kidney neoplasms,C04.588.945.947.535
kidney papillary necrosis,C12.050.351.968.419.493
"kidney tubular necrosis, acute",C12.050.351.968.419.780.050.500
polycystic kidney diseases,C12.050.351.968.419.403.875
medullary sponge kidney,C12.050.351.968.419.403.500
menkes kinky hair syndrome,C10.228.140.163.100.540
klebsiella infections,C01.150.252.400.310.503
klinefelter syndrome,C12.050.351.875.253.795.500
klippel-feil syndrome,C05.116.099.370.535
klippel-trenaunay-weber syndrome,C14.907.077.410
knee injuries,C26.558.554
vulvar lichen sclerosus,C12.050.351.500.944.815
krukenberg tumor,C04.557.470.200.025.415.410
kuru,C01.207.800.435
kwashiorkor,C18.654.521.719.500
kyasanur forest disease,C01.920.930.475
kyphosis,C05.116.900.800.500
obstetric labor complications,C12.050.703.420
"obstetric labor, premature",C12.050.703.420.491
laboratory infection,C01.503
labyrinth diseases,C09.218.568
labyrinthitis,C09.218.568.558
lacrimal apparatus diseases,C11.496
lacrimal duct obstruction,C11.496.456
lactation disorders,C12.050.703.844.506
lactose intolerance,C06.405.469.637.506
"lameness, animal",C22.510
language development disorders,C10.597.606.150.500.550
language disorders,C10.597.606.150.500
larva migrans,C01.610.335.508.523
"larva migrans, visceral",C01.610.335.508.523.780
laryngeal diseases,C08.360
laryngeal edema,C08.360.313
laryngeal neoplasms,C04.588.443.665.481
laryngismus,C08.360.895.500
laryngitis,C01.748.368
laryngostenosis,C08.360.591
lassa fever,C01.925.782.082.545
lathyrism,C25.723.756.558
laurence-moon syndrome,C10.228.140.617.500
lead poisoning,C25.723.522.750
learning disabilities,C10.597.606.150.550
lecithin cholesterol acyltransferase deficiency,C16.320.565.398.500.330.500
leg dermatoses,C17.800.446
leg injuries,C26.558
leg length inequality,C05.116.099.655
leg ulcer,C17.800.893.592
legg-calve-perthes disease,C05.116.852.175.570
legionellosis,C01.150.252.400.500
legionnaires' disease,C01.150.252.400.500.501
leigh disease,C10.228.140.163.100.412
leiomyoma,C04.557.450.590.450
leiomyosarcoma,C04.557.450.590.455
leishmaniasis,C01.610.752.300.500
"leishmaniasis, mucocutaneous",C01.610.752.300.500.400.385
"leishmaniasis, visceral",C01.610.752.300.500.510
lens diseases,C11.510
lens subluxation,C11.510.598
lentigo,C17.800.621.430.530.550
leprosy,C01.150.252.410.040.552.475.371
leptospirosis,C01.150.252.400.794.511
leriche syndrome,C14.907.109.661
lesch-nyhan syndrome,C10.228.140.163.100.425
leukemia,C04.557.337
leukemia l1210,C04.557.337.372.594
leukemia l5178,C04.557.337.372.602
leukemia p388,C04.557.337.372.782
"leukemia, experimental",C04.557.337.372
"leukemia, hairy cell",C04.557.337.415
"leukemia, lymphoid",C04.557.337.428
"leukemia, mast-cell",C04.557.337.440
"leukemia, megakaryoblastic, acute",C04.557.337.539.275.450
"leukemia, monocytic, acute",C04.557.337.539.275.484
"leukemia, myeloid",C04.557.337.539
"leukemia, plasma cell",C04.557.337.595
"leukemia, radiation-induced",C04.557.337.650
leukemoid reaction,C15.378.190.636.484
leukocyte disorders,C15.378.553
leukocytosis,C15.378.553.475
"leukodystrophy, globoid cell",C10.228.140.163.100.362.500
"leukodystrophy, metachromatic",C10.228.140.163.100.362.550
"leukoedema, oral",C07.465.385
"leukoencephalopathy, progressive multifocal",C01.207.245.340.500
"leukomalacia, periventricular",C10.228.140.300.700
leukopenia,C15.378.553.546
leukoplakia,C04.834.512
"leukoplakia, oral",C04.588.443.591.545
leukorrhea,C12.050.351.500.894.700.500
levocardia,C14.240.400.701
leydig cell tumor,C04.557.475.750.847.249
lichen planus,C17.800.859.475.560
linitis plastica,C04.557.470.200.025.095.410
lip diseases,C07.465.409
lip neoplasms,C04.588.443.591.550
"lipid metabolism, inborn errors",C16.320.565.398
mucopolysaccharidosis i,C16.320.565.202.715.640
lipodystrophy,C17.800.849.391
whipple disease,C01.150.252.410.040.137.631
lipidoses,C16.320.565.398.641
lipoid proteinosis of urbach and wiethe,C08.618.490.500
lipoma,C04.557.450.550.400
lipomatosis,C17.800.463
"lipomatosis, multiple symmetrical",C17.800.463.500
hyperlipoproteinemia type i,C16.320.565.398.465
liposarcoma,C04.557.450.550.420
listeriosis,C01.150.252.410.514
liver abscess,C01.830.025.020.455
"liver abscess, amebic",C01.610.518.600
liver cirrhosis,C06.552.630
"liver cirrhosis, alcoholic",C06.552.630.380
"liver cirrhosis, biliary",C06.130.120.135.250.250
"liver cirrhosis, experimental",C06.552.630.467
liver diseases,C06.552
"liver diseases, alcoholic",C06.552.645
"liver diseases, parasitic",C01.610.518
liver neoplasms,C04.588.274.623
"liver neoplasms, experimental",C04.588.274.623.460
loiasis,C01.610.335.508.700.750.361.518
long qt syndrome,C14.280.067.565
lordosis,C05.116.900.800.750
louping ill,C01.925.782.350.250.650
lown-ganong-levine syndrome,C14.280.067.780.560
ludwig's angina,C01.800.130.500
lumpy skin disease,C01.925.256.743.494
lung abscess,C01.748.407
lung diseases,C08.381
"lung diseases, fungal",C01.150.703.534
"lung diseases, obstructive",C08.381.495
"lung diseases, parasitic",C01.610.582
lung neoplasms,C04.588.894.797.520
lupus vulgaris,C01.150.252.819.820.470
"lupus erythematosus, cutaneous",C17.300.475
"lupus erythematosus, discoid",C17.300.475.479
"lupus erythematosus, systemic",C17.300.480
lupus nephritis,C12.050.351.968.419.570.363.680
lutembacher syndrome,C14.240.400.560.375.518
lyme disease,C01.150.252.400.536
lymphadenitis,C15.604.315
lymphangiectasis,C15.604.360
"lymphangiectasis, intestinal",C15.604.360.500
lymphangioma,C04.557.375.450
lymphangiomyoma,C04.557.375.460
lymphangiosarcoma,C04.557.375.480
lymphangitis,C15.604.406
lymphatic diseases,C15.604
lymphatic metastasis,C04.697.650.560
lymphedema,C15.604.496
lymphocele,C04.182.430
lymphocytic choriomeningitis,C01.207.245.500.500
lymphocytosis,C15.378.553.475.604
lymphogranuloma venereum,C01.150.252.400.210.125.490
lymphoma,C04.557.386
"lymphoma, follicular",C04.557.386.480.350
"lymphoma, non-hodgkin",C04.557.386.480
lymphomatoid granulomatosis,C04.557.386.480.150.600
lymphopenia,C15.378.553.546.605
lymphoproliferative disorders,C15.604.515
waldenstrom macroglobulinemia,C04.557.595.925
macroglossia,C07.465.910.460
macrostomia,C07.465.525.480
macular degeneration,C11.768.585.439
macular edema,C11.768.585.439.245
mycetoma,C01.150.252.410.040.692.500
magnesium deficiency,C18.654.521.500.439
malabsorption syndromes,C06.405.469.637
malacoplakia,C23.550.548
malaria,C01.610.752.530
"malaria, avian",C01.610.752.530.606
malignant carcinoid syndrome,C04.557.465.625.650.200.500
malignant catarrh,C01.925.256.466.606
malignant hyperthermia,C23.550.505.700
mallory-weiss syndrome,C06.405.117.468.524
malocclusion,C07.793.494
"malocclusion, angle class i",C07.793.494.610
"malocclusion, angle class ii",C07.793.494.630
"malocclusion, angle class iii",C07.793.494.650
"mammary neoplasms, experimental",C04.588.531.500
mandibular diseases,C05.500.607
mandibular fractures,C10.900.300.284.500.400.255
mandibular injuries,C10.900.300.284.500.500
mandibular neoplasms,C04.588.149.721.450.583
mandibulofacial dysostosis,C05.116.099.370.231.576
alpha-mannosidosis,C16.320.565.202.607.500
mansonelliasis,C01.610.335.508.700.750.361.588
maple syrup urine disease,C10.228.140.163.100.520
marburg virus disease,C01.925.782.417.560
marek disease,C01.925.256.466.650
marfan syndrome,C05.116.099.674
mastitis,C12.050.703.844.603
"mastitis, bovine",C22.196.581
mastocytosis,C04.557.450.565.465
mastoiditis,C01.160.495.500
maxillary diseases,C05.500.693
maxillary fractures,C10.900.300.284.500.400.510
maxillary neoplasms,C04.588.149.721.450.601
maxillary sinus neoplasms,C04.588.443.665.650.693.575
maxillofacial injuries,C10.900.300.284.500
measles,C01.925.782.580.600.500.500
meconium aspiration syndrome,C08.381.520.687
mediastinal cyst,C04.182.444
mediastinal diseases,C08.846.187
mediastinal emphysema,C08.846.187.290
mediastinal neoplasms,C04.588.894.479
mediastinitis,C08.846.187.790
medulloblastoma,C04.557.465.625.600.380.515
megacolon,C06.405.469.158.701
"megacolon, toxic",C06.405.469.158.701.591
meige syndrome,C10.228.140.079.590
meigs syndrome,C04.588.322.455.531
melanoma,C04.557.465.625.650.510
"melanoma, experimental",C04.557.465.625.650.510.525
melanosis,C17.800.621.430.530
melioidosis,C01.150.252.400.170.531
melkersson-rosenthal syndrome,C07.465.299.800
melorheostosis,C05.116.099.708.702.593
memory disorders,C10.597.606.525
meniere disease,C09.218.568.217.500
meningeal neoplasms,C04.588.614.250.580
meningioma,C04.557.580.520
meningism,C10.597.544
meningitis,C10.586.625
"meningitis, aseptic",C10.586.625.220
"meningitis, haemophilus",C01.150.252.223.500.425
"meningitis, listeria",C01.150.252.223.500.500
"meningitis, meningococcal",C01.150.252.223.500.750
"meningitis, pneumococcal",C01.150.252.223.500.875
"meningitis, viral",C01.207.245.500
meningocele,C10.500.680.598
meningococcal infections,C01.150.252.400.625.549
meningoencephalitis,C01.207.245.550
meningomyelocele,C10.500.680.610
"menopause, premature",C12.050.351.500.056.630.250
menorrhagia,C12.050.351.500.852.691.449
menstruation disturbances,C23.550.568
intellectual disability,C10.597.606.360
mercury poisoning,C25.723.522.875
mesenchymoma,C04.557.435.500
mesenteric cyst,C04.182.473
mesenteric lymphadenitis,C06.844.520
mesenteric vascular occlusion,C06.405.469.675
mesial movement of teeth,C07.465.714.836.535
mesonephroma,C04.557.465.510
mesothelioma,C04.557.470.035.510
metabolic diseases,C18.452
"metabolism, inborn errors",C16.320.565
"metal metabolism, inborn errors",C16.320.565.618
metaplasia,C23.550.589
methemoglobinemia,C15.378.619
metrorrhagia,C12.050.351.500.852.691.622
microcephaly,C05.660.207.620
micrognathism,C05.500.460.457
microphthalmos,C11.250.566
microstomia,C07.465.525.520
middle lobe syndrome,C08.381.730.542
migraine disorders,C10.228.140.546.399.750
